"state","regions","Y1945","Y1949","Y1954","Y1959","Y1964","Y1969","Y1974","Y1978","Y1982","Y1987","Y1992","Y1997","Y2002","Y2007"
"  Maine ","Northeast",449,482,471,509,531,572,565,371,408,429,453,520,589,600.662971
"  New Hampshire","Northeast",158,177,165,170,205,122,141,208,226,263,266,318,337,565.308656
"  Vermont","Northeast",118,115,110,122,259,191,221,242,248,422,338,337,346,467.366148
"  Massachusetts","Northeast",277,294,316,282,360,264,216,425,525,557,559,552,555,678.323374
"  Rhode Island","Northeast",44,46,43,48,51,47,36,67,71,59,59,61,62,69.795537
"  Connecticut","Northeast",157,161,171,173,167,118,113,122,157,311,294,298,293,335.270777
"  New York","Northeast",3335,3632,3450,3566,3653,4018,3816,3810,3827,3898,3749,3809,3971,4045.825063
"  New Jersey","Northeast",273,331,335,347,380,372,374,433,578,712,705,728,811,866.062704
"  Pennsylvania","Northeast",1153,2096,1994,2022,2115,2261,2252,2347,2469,2409,2356,2378,2594,2834.319838
"  Delaware","Northeast",75,84,80,87,89,97,99,99,92,113,102,103,112,148.332436
"  Maryland","Northeast",336,379,362,377,400,463,482,556,520,654,658,731,735,602.662711
"  Michigan","Lake States",1790,2366,1942,2336,2380,2492,2512,2017,1989,2488,2470,2468,2685,2831.208691
"  Wisconsin","Lake States",1566,1688,1715,1951,2126,1987,1924,2132,2172,2150,2242,2182,2439,2331.765321
"  Minnesota  ","Lake States",2161,3346,3438,3505,3492,3142,3273,4179,4253,7565,4313,4398,4679,4966.610503
"  Ohio","Corn Belt",1140,1218,1208,1288,1270,1242,1259,1318,1245,1184,1161,1152,1394,1343.661204
"  Indiana","Corn Belt",1232,1227,1262,1220,1216,1155,1135,1131,1082,966,897,1102,1270,1363.301372
"  Illinois","Corn Belt",1780,1891,1848,1841,1879,1750,1711,1805,1947,1881,1918,1901,1973,2496.324485
"  Iowa","Corn Belt",1642,1669,1680,1646,1751,1534,1545,1668,1699,1564,1566,1550,1858,2164.798375
"  Missouri","Corn Belt",1584,1552,1600,1669,1668,1541,1466,1715,1737,1743,1721,1741,1938,2042.576918
"  North Dakota","Northern Plains",1708,1866,2097,1965,2163,1385,1454,1824,1817,1601,1603,1489,1686,1950.618786
"  South Dakota","Northern Plains",1931,1860,1768,2128,2326,1715,1497,1583,1597,1521,1602,1575,1855,2307.123817
"  Nebraska","Northern Plains",1634,1633,1651,1631,1682,1505,1417,1526,1533,1514,1480,1423,1651,1843.945514
"  Kansas","Northern Plains",1852,1871,1808,1879,1972,1805,1775,1738,1745,1703,1644,1619,1945,2068.761353
"  Virginia","Appalachian",1175,1126,1198,1459,1266,1187,1264,1383,1327,1449,1441,1468,1590,1662.224463
"  West Virginia","Appalachian",386,360,380,928,491,400,412,452,665,683,679,699,929,964.194646
"  North Carolina","Appalachian",1432,1629,1739,1823,1808,1870,1899,1814,1937,2118,2270,2264,2395,2858.121859
"  Kentucky","Appalachian",1272,1354,1227,884,1390,1080,1042,1044,970,1006,998,996,1607,1312.478353
"  Tennessee","Appalachian",1502,1622,1548,1253,1555,1452,1388,2208,2195,2154,2233,2203,2370,2072.169366
"  South Carolina","Southeast",781,743,1027,1109,1168,1124,1083,1135,1164,1124,1059,1032,1074,1081.326596
"  Georgia","Southeast",1792,1831,1904,2012,2029,1784,1838,1868,1869,1625,1874,1854,1995,2073.202413
"  Florida","Southeast",1565,2077,2600,2807,2754,3207,3756,4156,4021,4505,4940,4675,4508,5008.290661
"  Alabama","Southeast",1074,1045,1087,1107,1401,1117,1061,1474,1449,1376,1372,1423,1522,1535.001954
"  Mississippi","Delta States",1056,1139,1100,1158,1092,851,831,829,850,880,870,848,957,958.232618
"  Arkansas","Delta States",1034,1118,1212,1357,1486,1100,1146,1249,1298,1368,1418,1450,1534,1567.6857
"  Louisiana","Delta States",995,1250,1244,1257,1296,1211,1194,1280,1322,1318,1422,1396,1927,1974.522353
"  Oklahoma","Southern Plains",1493,1861,1807,1821,2306,1585,1494,1395,1410,1330,1396,1477,1635,1730.953851
"  Texas","Southern Plains",3508,3938,3953,4277,4434,4295,4234,4531,4673,4681,5029,5363,5475,6219.684213
"  Montana","Mountain",2757,3234,3252,3025,4778,4312,4543,5972,5966,6145,6090,6414,6863,7987.311012
"  Idaho","Mountain",631,1498,1891,1605,3960,3929,3937,4265,5167,5278,5227,5266,6174,5933.483683
"  Wyoming","Mountain",2836,3282,2806,3104,5585,5221,5312,5589,5768,6293,6296,6332,6416,7279.496126
"  Colorado","Mountain",2155,1638,1826,1779,2646,2756,2808,3515,4643,4795,4957,5700,6022,6331.477917
"  New Mexico","Mountain",2958,2386,2441,4144,4972,4937,5046,4974,5279,3647,5926,6360,6449,6476.532344
"  Arizona","Mountain",7088,4258,5004,6744,7615,7667,8179,9188,9063,9849,12321,10092,11373,13135.814463
"  Utah","Mountain",2691,2911,3154,2634,4522,4777,4945,4777,4901,5451,5550,5059,4958,5857.801867
"  Nevada","Mountain",6327,4292,4978,5612,5669,7108,7051,7485,7515,7517,7569,5726,6882,9535.26862
"  Washington","Pacific",2221,2069,2791,2898,4487,4831,4648,5250,5356,6637,6298,6638,6840,7140.507785
"  Oregon","Pacific",1211,1400,1396,1428,2243,2158,2273,2659,2707,3568,3612,3594,3946,4303.407071
"  California","Pacific",8685,9005,10558,10295,12218,12532,12742,13197,13827,14769,13372,20996,21558,25376.670273
"  Alaska ","Others",NA,NA,NA,17069,28207,30470,32819,34359,141534,142520,143616,143013,143262,143357.945586
"  Hawaii ","Others",NA,NA,NA,301,376,476,664,535,926,806,760,769,769,823.539484
"Northeast","Northeast Total",6374,7797,7497,7703,8210,8525,8315,8680,9121,9827,9549,9836,10404,11213.930214
"Lake States","Lake States Total",5517,7400,7095,7792,7998,7621,7709,8328,8414,12203,9024,9049,9803,10129.584515
"Corn Belt","Corn Belt Total",7378,7557,7598,7664,7784,7222,7116,7637,7710,7338,7264,7444,8432,9410.662354
"Northern Plains","Northern Plains Total",7125,7230,7324,7603,8143,6410,6143,6671,6692,6339,6330,6106,7137,8170.44947
"Appalachian","Appalachian Total",5767,6091,6092,6347,6510,5989,6005,6901,7094,7410,7622,7631,8891,8869.188687
"Southeast","Southeast Total",5212,5696,6618,7035,7352,7232,7738,8633,8503,8630,9244,8984,9099,9697.821624
"Delta States","Delta States Total",3085,3507,3556,3772,3874,3162,3171,3358,3470,3566,3710,3693,4419,4500.440671
"Southern Plains","Southern Plains Total",5001,5799,5760,6098,6740,5880,5728,5926,6083,6011,6425,6840,7110,7950.638064
"Mountain","Mountain Total",27443,23499,25352,28647,39747,40707,41821,45765,48302,48975,53937,50947,55137,62537.186033
"Pacific","Pacific Total",12117,12474,14745,14621,18948,19521,19663,21106,21890,24974,23284,31228,32343,36820.58513
NA,"Other Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
